head,head_type,relation,tail,tail_type,source_key,evidence_grade,note
VHP缸体温度,参数,归属,VHP,设备,UserDCS_SystemTopology,A,
一级抽汽压力,参数,归属,一级抽汽系统,设备,UserDCS_SystemTopology,A,
一级抽汽温度,参数,归属,一级抽汽系统,设备,UserDCS_SystemTopology,A,
一次冷再压力,参数,归属,一次再热系统RH1,设备,UserDCS_SystemTopology,A,
一次冷再温度,参数,归属,一次再热系统RH1,设备,UserDCS_SystemTopology,A,
一次热再压力,参数,归属,一次再热系统RH1,设备,UserDCS_SystemTopology,A,
一次热再温度,参数,归属,一次再热系统RH1,设备,UserDCS_SystemTopology,A,
HP排汽压力,参数,归属,HP,设备,UserDCS_SystemTopology,A,
HP排汽温度,参数,归属,HP,设备,UserDCS_SystemTopology,A,
二次冷再压力,参数,归属,二次再热系统RH2,设备,UserDCS_SystemTopology,A,
二次冷再温度,参数,归属,二次再热系统RH2,设备,UserDCS_SystemTopology,A,
二次热再压力,参数,归属,二次再热系统RH2,设备,UserDCS_SystemTopology,A,
二次热再温度,参数,归属,二次再热系统RH2,设备,UserDCS_SystemTopology,A,
IP排汽压力,参数,归属,IP,设备,UserDCS_SystemTopology,A,
IP排汽温度,参数,归属,IP,设备,UserDCS_SystemTopology,A,
IP效率,参数,归属,IP,设备,UserDCS_SystemTopology,A,
LP排汽压力,参数,归属,LP,设备,UserDCS_SystemTopology,A,
LP排汽温度,参数,归属,LP,设备,UserDCS_SystemTopology,A,
凝汽器压力/背压,参数,归属,凝汽器,设备,Medica2018CondenserCondition,A,
凝汽器真空,参数,归属,凝汽器,设备,Medica2018CondenserCondition,A,
凝汽器传热系数,参数,归属,凝汽器,设备,Medica2018CondenserCondition,A,
凝汽器污垢热阻,参数,归属,凝汽器,设备,Medica2018CondenserCondition,A,
循环水入口温度,参数,归属,循环水系统,设备,Medica2018CondenserCondition,A,
循环水流量,参数,归属,循环水系统,设备,Medica2018CondenserCondition,A,
给水入口温度,参数,归属,给水加热器,设备,Barszcz2011FeedwaterHeater,A,
给水出口温度,参数,归属,给水加热器,设备,Barszcz2011FeedwaterHeater,A,
抽汽侧压力,参数,归属,给水加热器,设备,Barszcz2011FeedwaterHeater,A,
抽汽侧温度,参数,归属,给水加热器,设备,Barszcz2011FeedwaterHeater,A,
高压调节阀死区,故障,发生于,高压调节阀,设备,ZhangHu2021ControlValveGraph,A,
高压调节阀死区,故障,导致,阀位对指令不敏感,异常,ZhangHu2021ControlValveGraph,A,
阀位对指令不敏感,异常,表现为,调节阀实际位置异常,参数,ZhangHu2021ControlValveGraph,A,
高压调节阀死区,故障,影响,主蒸汽流量,参数,ZhangHu2021ControlValveGraph,A,
高压调节阀死区,故障,导致,系统振荡,异常,ZhangHu2021ControlValveGraph,A,
系统振荡,异常,关联监测,VHP入口压力波动,异常,ZhangHu2021ControlValveGraph,B,
HP级间汽封缺陷,故障,发生于,HP,设备,ZhangHu2021FaultPropagationGNN,A,
HP级间汽封缺陷,故障,导致,蒸汽泄漏,异常,ZhangHu2021FaultPropagationGNN,A,
HP轴端汽封缺陷,故障,发生于,HP,设备,ZhangHu2021FaultPropagationGNN,A,
HP轴端汽封缺陷,故障,导致,蒸汽泄漏,异常,ZhangHu2021FaultPropagationGNN,A,
IP级间汽封缺陷,故障,发生于,IP,设备,ZhangHu2021FaultPropagationGNN,A,
IP级间汽封缺陷,故障,导致,蒸汽泄漏,异常,ZhangHu2021FaultPropagationGNN,A,
IP轴端汽封缺陷,故障,发生于,IP,设备,ZhangHu2021FaultPropagationGNN,A,
IP轴端汽封缺陷,故障,导致,蒸汽泄漏,异常,ZhangHu2021FaultPropagationGNN,A,
LP级间汽封缺陷,故障,发生于,LP,设备,ZhangHu2021FaultPropagationGNN,A,
LP级间汽封缺陷,故障,导致,蒸汽泄漏,异常,ZhangHu2021FaultPropagationGNN,A,
LP轴端汽封缺陷,故障,发生于,LP,设备,ZhangHu2021FaultPropagationGNN,A,
LP轴端汽封缺陷,故障,导致,蒸汽泄漏,异常,ZhangHu2021FaultPropagationGNN,A,
蒸汽泄漏,异常,导致,汽耗率升高,异常,ZhangHu2021FaultPropagationGNN,A,
LP轴端汽封缺陷,故障,导致,空气漏入凝汽器侧,异常,ZhangHu2021FaultPropagationGNN,A,
空气漏入凝汽器侧,异常,导致,凝汽器真空下降,异常,ZhangHu2021FaultPropagationGNN,A,
凝汽器真空下降,异常,表现为,凝汽器压力/背压升高,参数,Medica2018CondenserCondition,A,
HP-IP中间汽封泄漏,故障,发生于,HP-IP汽封,设备,Xu2011HPIPLeakage,A,
HP-IP中间汽封泄漏,故障,导致,IP效率下降,异常,Xu2011HPIPLeakage,A,
HP-IP中间汽封泄漏,故障,关联监测,一次热再温度,参数,Xu2011HPIPLeakage,A,
HP-IP中间汽封泄漏,故障,关联监测,IP排汽温度,参数,Xu2011HPIPLeakage,A,
固体颗粒侵蚀,故障,导致,首级喷嘴面积增大,异常,Kubiak2002TurbineDegradation,A,
叶片表面沉积,故障,导致,通流面积减小,异常,Kubiak2002TurbineDegradation,A,
叶片表面粗糙度增大,故障,导致,通流损失增大,异常,Kubiak2002TurbineDegradation,A,
迷宫汽封磨损,故障,导致,蒸汽泄漏,异常,Kubiak2002TurbineDegradation,A,
径向汽封磨损,故障,导致,蒸汽泄漏,异常,Kubiak2002TurbineDegradation,A,
固体颗粒侵蚀,故障,关联监测,高压缸前关键压力升高,异常,Kubiak2002TurbineDegradation,A,
固体颗粒侵蚀,故障,关联监测,热再压力变化,异常,Kubiak2002TurbineDegradation,B,
固体颗粒侵蚀,故障,关联监测,中低压连通管压力变化,异常,Kubiak2002TurbineDegradation,B,
叶片表面沉积,故障,导致,效率下降,异常,Kubiak2002ScaleDeposit,A,
叶片表面沉积,故障,导致,出力下降,异常,Kubiak2002ScaleDeposit,A,
通流面积减小,异常,表现为,级前压力异常升高,异常,Kubiak2002ScaleDeposit,B,
凝汽器水侧污垢,故障,发生于,凝汽器,设备,Li2016CondenserFouling,A,
凝汽器水侧污垢,故障,导致,凝汽器换热能力下降,异常,Li2016CondenserFouling,A,
凝汽器换热能力下降,异常,表现为,凝汽器污垢热阻升高,参数,Li2016CondenserFouling,A,
凝汽器换热能力下降,异常,影响,凝汽器压力/背压,参数,Medica2018CondenserCondition,A,
循环水入口温度升高,异常,影响,凝汽器压力/背压,参数,Medica2018CondenserCondition,A,
循环水流量下降,异常,影响,凝汽器压力/背压,参数,Medica2018CondenserCondition,A,
凝汽器压力/背压升高,参数,导致,低压缸可用焓降减小,异常,Medica2018CondenserCondition,A,
低压缸可用焓降减小,异常,导致,LP效率/出力下降,异常,Medica2018CondenserCondition,A,
给水加热器内部泄漏,故障,发生于,给水加热器,设备,Heo2012FWHLeakage,A,
给水加热器内部泄漏,故障,导致,回热性能下降,异常,Heo2012FWHLeakage,A,
回热性能下降,异常,导致,机组热效率下降,异常,Heo2012FWHLeakage,A,
给水加热器内部泄漏,故障,关联监测,给水出口温度,参数,Barszcz2011FeedwaterHeater,B,
给水加热器内部泄漏,故障,关联监测,抽汽侧压力,参数,Barszcz2011FeedwaterHeater,B,
给水加热器内部泄漏,故障,处置为,加热器泄漏检查与检修,处置,Heo2012FWHLeakage,B,
固体颗粒侵蚀,故障,处置为,喷嘴/叶片型线检查修复,处置,Kubiak2002TurbineDegradation,B,
叶片表面沉积,故障,处置为,通流部件清洗,处置,Kubiak2002ScaleDeposit,B,
迷宫汽封磨损,故障,处置为,汽封间隙检查与修复,处置,Kubiak2002TurbineDegradation,B,
凝汽器水侧污垢,故障,处置为,凝汽器水侧清洗,处置,Li2016CondenserFouling,B,
高压调节阀死区,故障,处置为,调节阀执行机构检查,处置,ZhangHu2021ControlValveGraph,B,
