fault,region,target_tag,weight_sigma
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT102,0.22
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT103,0.22
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT104,-0.3
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT105,-0.3
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CP102,-0.9
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT106,-0.38
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10MAA50CP102,0.06
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB21CT101,-0.82
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB21CT102,-0.78
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB21CT103,-0.8
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB22CT101,-0.8
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB22CT102,-0.76
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB22CT103,-0.78
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB21CP101,-0.12
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB21CP102,-0.12
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB21CP103,-0.12
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB22CP101,-0.12
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB22CP102,-0.12
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBB22CP103,-0.12
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBC20CT103,0.1
F5_RH1换热能力下降,RH1双侧热再出口,SYG1_10LBC20CT104,0.1
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB21CT101,-0.92
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB21CT102,-0.88
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB21CT103,-0.9
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB22CT101,-0.62
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB22CT102,-0.58
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB22CT103,-0.6
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB21CP101,-0.04
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBB22CP101,-0.03
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBC20CT103,-0.1
F6_RH1喷水过量,RH1双侧热再出口-喷水调温,SYG1_10LBC20CT104,-0.1
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10MAA50CP101,-0.5
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10MAA50CP102,-0.45
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10MAA50CP103,-0.38
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBC01CP101,-0.25
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBC02CP101,-0.25
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBC20CT101,0.48
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBC20CT103,0.42
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBC20CT104,0.42
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB21CT101,0.3
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB21CT102,0.28
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB21CT103,0.28
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB22CT101,0.3
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB22CT102,0.28
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB22CT103,0.28
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB21CP101,0.18
F7_高旁异常开启,主汽旁路-VHP-RH1跨设备接口,SYG1_10LBB22CP101,0.18
